年,罪種00,罪種01,罪種02,年齢層,検挙人員
2005,凶悪犯,殺人,殺人,14歳,5
2005,凶悪犯,殺人,嬰児殺,14歳,0
2005,凶悪犯,殺人,殺人予備,14歳,0
2005,凶悪犯,殺人,自殺関与,14歳,0
2005,凶悪犯,強盗,強盗殺人,14歳,1
2005,凶悪犯,強盗,強盗傷人,14歳,72
2005,凶悪犯,強盗,強盗強姦,14歳,0
2005,凶悪犯,強盗,強盗・準強盗,14歳,19
2005,凶悪犯,放火,,14歳,19
2005,凶悪犯,強姦,,14歳,8
2005,粗暴犯,凶器準備集合,,14歳,24
2005,粗暴犯,暴行,,14歳,303
2005,粗暴犯,傷害,傷害致死,14歳,0
2005,粗暴犯,脅迫,,14歳,11
2005,粗暴犯,恐喝,,14歳,465
2005,窃盗犯,侵入盗,,14歳,526
2005,窃盗犯,乗り物盗,,14歳,4853
2005,窃盗犯,非侵入盗,,14歳,8640
2005,知能犯,詐欺,,14歳,50
2005,知能犯,横領,横領,14歳,2
2005,知能犯,横領,業務上横領,14歳,0
2005,知能犯,偽造,通貨偽造,14歳,5
2005,知能犯,偽造,文書偽造,14歳,0
2005,知能犯,偽造,支払用カード偽造,14歳,0
2005,知能犯,偽造,有価証券偽造,14歳,0
2005,知能犯,偽造,印章偽造,14歳,0
2005,知能犯,汚職,賄賂,14歳,0
2005,知能犯,あっせん利得処罰法,,14歳,0
2005,知能犯,背任,,14歳,0
2005,風俗犯,賭博,普通賭博,14歳,0
2005,風俗犯,賭博,常習賭博,14歳,0
2005,風俗犯,賭博,賭博開張等,14歳,0
2005,風俗犯,わいせつ,強制わいせつ,14歳,56
2005,風俗犯,わいせつ,公然わいせつ,14歳,7
2005,その他の刑法犯,占有離脱物横領,,14歳,4892
2005,その他の刑法犯,公務執行妨害,,14歳,12
2005,その他の刑法犯,住居侵入,,14歳,510
2005,その他の刑法犯,逮捕監禁,,14歳,8
2005,その他の刑法犯,略取誘拐・人身売買,,14歳,1
2005,その他の刑法犯,盗品等,,14歳,310
2005,その他の刑法犯,器物損壊等,,14歳,419
2005,粗暴犯,傷害,その他,14歳,1352
2005,知能犯,汚職,その他,14歳,0
2005,風俗犯,わいせつ,その他,14歳,0
2005,その他の刑法犯,その他,,14歳,81
2005,凶悪犯,殺人,殺人,15歳,8
2005,凶悪犯,殺人,嬰児殺,15歳,0
2005,凶悪犯,殺人,殺人予備,15歳,0
2005,凶悪犯,殺人,自殺関与,15歳,0
2005,凶悪犯,強盗,強盗殺人,15歳,2
