年,区分,性別,年齢,人口_千人
2011,日本人,男,13歳,607.990363126278
2011,日本人,男,14歳,604.9904106766417
2011,日本人,男,15歳,602.478131040965
2011,日本人,男,16歳,620.9901570747016
2011,日本人,男,17歳,625.9900778240954
2011,日本人,男,18歳,613.9902680255504
2011,日本人,男,19歳,621.9901412245804
2011,日本人,男,20歳,610.9903155759141
2011,日本人,男,21歳,614.9902521754292
2011,日本人,男,22歳,627.5018905959937
2011,日本人,男,23歳,645.9897608216703
2011,日本人,男,24歳,660.9895230698514
2011,日本人,男,25歳,675.9892853180327
2011,日本人,男,26歳,702.9888573647589
2011,日本人,男,27歳,724.9885086620912
2011,日本人,男,28歳,733.9883660109999
2011,日本人,男,29歳,732.4967229874308
2011,日本人,男,30歳,744.9881916596663
2011,日本人,男,31歳,778.9876527555436
2011,日本人,男,32歳,799.9873199029972
2011,日本人,男,33歳,835.9867492986322
2011,日本人,男,34歳,857.9864005959645
2011,日本人,男,35歳,901.9857031906294
2011,日本人,男,36歳,944.9850216354156
2011,日本人,男,37歳,997.984181578989
2011,日本人,男,38歳,1013.983927977049
2011,日本人,男,39歳,995.9842132792317
2011,日本人,男,40歳,968.4925189174024
2011,日本人,男,41歳,940.9850850359006
2011,日本人,男,42歳,923.9853544879616
2011,日本人,男,43歳,903.4798037391332
2011,日本人,男,44歳,902.985687340508
2011,日本人,男,45歳,701.9888732148801
2011,日本人,男,46歳,870.4818597473156
2011,日本人,男,47歳,814.9870821511786
2011,日本人,男,48歳,794.49121412492
2011,日本人,男,49歳,768.4907660899205
2011,日本人,男,50歳,756.4853533828737
2011,日本人,男,51歳,761.9879222076049
2011,日本人,男,52歳,774.9877161560286
2011,日本人,男,53歳,752.9880648586961
2011,日本人,男,54歳,731.9883977112426
2011,日本人,男,55歳,768.987811256756
2011,日本人,男,56歳,796.485809968043
2011,日本人,男,57歳,795.9873833034823
2011,日本人,男,58歳,843.9866224976621
2011,日本人,男,59歳,888.9859092422057
2011,日本人,男,60歳,942.985053335658
2011,日本人,男,61歳,1011.9839596772918
2011,日本人,男,62歳,1104.982485616015
2011,日本人,男,63歳,1092.98267581747
2011,日本人,男,64歳,1036.4722507740391
2011,日本人,男,65歳,640.9898400722765
2011,日本人,男,66歳,679.4690888190948
2011,日本人,男,67歳,820.986987050451
2011,日本人,男,68歳,789.9874784042098
2011,日本人,男,69歳,805.9872248022697
2011,日本人,男,70歳,776.5156384749503
2011,日本人,男,71歳,695.4573055836303
2011,日本人,男,72歳,595.990553327733
2011,日本人,男,73歳,624.4496015048418
2011,日本人,男,74歳,627.9900461238528
2011,日本人,男,75歳,613.4400199606868
2011,日本人,男,76歳,568.9909812810067
2011,日本人,男,77歳,519.9917579369483
2011,日本人,男,78歳,498.9920907894945
2011,日本人,男,79歳,468.4134387818714
2011,日本人,男,80歳,428.9932002979823
2011,日本人,男,81歳,384.39600142103393
2011,日本人,男,82歳,349.38484243330635
2011,日本人,男,83歳,315.6142745046217
2011,日本人,男,84歳,280.36397717916225
2011,日本人,男,85歳,246.9960850200504
2011,日本人,男,86歳,200.99681412562808
2011,日本人,男,87歳,157.6858635394596
2011,日本人,男,88歳,120.99808213532832
2011,日本人,男,89歳,96.9984625382384
2011,日本人,男,90歳,77.99876369054223
2011,日本人,男,91歳,65.99895389199727
2011,日本人,男,92歳,43.99930259466485
2011,日本人,男,93歳,35.99942939563488
2011,日本人,男,94歳,27.999556196604903
2011,日本人,男,95歳,20.99966714745368
2011,日本人,男,96歳,14.807457603973749
2011,日本人,男,97歳,10.99982564866621
2011,日本人,男,98歳,6.999889049151226
2011,日本人,男,99歳,4.833256724413941
2011,日本人,男,100歳以上,6.130337614474055
2011,日本人,女,0歳,515.9918213374332
2011,日本人,女,1歳,504.991995688767
2011,日本人,女,2歳,505.50357059169727
2011,日本人,女,3歳,519.5035027651764
2011,日本人,女,4歳,516.9918054873119
2011,日本人,女,5歳,513.9918530376757
2011,日本人,女,6歳,512.991868887797
2011,日本人,女,7歳,532.9915518853719
2011,日本人,女,8歳,540.991425084402
2011,日本人,女,9歳,556.9911714824618
2011,日本人,女,10歳,563.991060531613
2011,日本人,女,11歳,567.990997131128
2011,日本人,女,12歳,570.9909495807642
2011,日本人,女,13歳,579.990806929673
2011,日本人,女,14歳,577.9908386299155
2011,日本人,女,15歳,573.5032292164409
2011,日本人,女,16歳,589.9906484284605
2011,日本人,女,17歳,591.9906167282179
2011,日本人,女,18歳,580.9907910795517
2011,日本人,女,19歳,586.9906959788242
2011,日本人,女,20歳,578.9908227797943
2011,日本人,女,21歳,583.990743529188
2011,日本人,女,22歳,598.4786771553496
2011,日本人,女,23歳,614.9902521754292
2011,日本人,女,24歳,631.9899827233678
2011,日本人,女,25歳,645.9897608216702
2011,日本人,女,26歳,675.9892853180327
2011,日本人,女,27歳,697.9889366153651
2011,日本人,女,28歳,705.988809814395
2011,日本人,女,29歳,708.4804369878428
2011,日本人,女,30歳,718.9886037628189
2011,日本人,女,31歳,751.9880807088174
2011,日本人,女,32歳,770.9877795565136
2011,日本人,女,33歳,806.9872089521485
2011,日本人,女,34歳,829.9868443993596
2011,日本人,女,35歳,870.9861945443882
2011,日本人,女,36歳,912.9855288392956
2011,日本人,女,37歳,962.984736333233
2011,日本人,女,38歳,981.984435180929
2011,日本人,女,39歳,960.9847680334752
2011,日本人,女,40歳,938.4772549013672
2011,日本人,女,41歳,910.985560539538
2011,日本人,女,42歳,900.9857190407506
2011,日本人,女,43歳,882.4918879443081
2011,日本人,女,44歳,881.9860201930544
2011,日本人,女,45歳,689.9890634163352
2011,日本人,女,46歳,855.4907829434009
2011,日本人,女,47歳,799.9873199029972
2011,日本人,女,48歳,782.4837902338633
2011,日本人,女,49歳,759.4850149248042
2011,日本人,女,50歳,748.4907921846398
2011,日本人,女,51歳,756.9880014582111
2011,日本人,女,52歳,772.9877478562711
2011,日本人,女,53歳,754.9880331584537
2011,日本人,女,54歳,734.9883501608788
2011,日本人,女,55歳,773.9877320061497
2011,日本人,女,56歳,801.488861538194
2011,日本人,女,57歳,804.987240652391
2011,日本人,女,58歳,860.9863530456008
2011,日本人,女,59歳,910.985560539538
2011,日本人,女,60歳,967.9846570826268
2011,日本人,女,61歳,1043.9834524734115
2011,日本人,女,62歳,1145.9818357610436
2011,日本人,女,63歳,1139.981930861771
2011,日本人,女,64歳,1084.4941311187824
2011,日本人,女,65歳,680.9892060674264
2011,日本人,女,66歳,736.5084674092102
2011,日本人,女,67歳,898.9857507409931
2011,日本人,女,68歳,870.9861945443884
2011,日本人,女,69歳,893.9858299915994
2011,日本人,女,70歳,868.4582880755879
2011,日本人,女,71歳,789.5191569863083
2011,日本人,女,72歳,686.989110966699
2011,日本人,女,73歳,734.5288581803748
2011,日本人,女,74歳,751.9880807088175
2011,日本人,女,75歳,750.5383604739234
2011,日本人,女,76歳,715.9886513131826
2011,日本人,女,77歳,671.9893487185177
2011,日本人,女,78歳,668.9893962688815
2011,日本人,女,79歳,644.5689200331735
2011,日本人,女,80歳,611.9902997257929
2011,日本人,女,81歳,571.5888458630478
2011,日本人,女,82歳,545.6009717081718
2011,日本人,女,83歳,513.3725857448593
2011,日本人,女,84歳,480.6239608785639
2011,日本人,女,85歳,452.99281989507216
2011,日本人,女,86歳,403.9935965510136
2011,日本人,女,87歳,348.3061162991861
2011,日本人,女,88歳,311.99505476216893
2011,日本人,女,89歳,274.9956412166553
2011,日本人,女,90歳,235.9962593713842
2011,日本人,女,91歳,211.99663977429427
2011,日本人,女,92歳,145.997685882297
2011,日本人,女,93歳,127.99797118447955
2011,日本人,女,94歳,104.9983357372684
2011,日本人,女,95歳,86.99862103945095
2011,日本人,女,96歳,62.19132193668973
2011,日本人,女,97歳,48.99922334405858
2011,日本人,女,98歳,34.999445245756135
2011,日本人,女,99歳,24.16628362206971
2011,日本人,女,100歳以上,40.86891742982703
2012,日本人,男,0歳,528.4795078950036
2012,日本人,男,1歳,542.9913781468573
