年,州,国籍・地域,属性,罪種00,罪種01,罪種02,検挙人員
2006,アジア州の国,韓国・朝鮮,,凶悪犯,殺人,,16
2006,アジア州の国,中国,,凶悪犯,殺人,,24
2006,アジア州の国,イラン,,凶悪犯,殺人,,0
2006,アジア州の国,インド,,凶悪犯,殺人,,0
2006,アジア州の国,インドネシア,,凶悪犯,殺人,,0
2006,アジア州の国,スリランカ,,凶悪犯,殺人,,0
2006,アジア州の国,タイ,,凶悪犯,殺人,,4
2006,アジア州の国,パキスタン,,凶悪犯,殺人,,0
2006,アジア州の国,バングラディシュ,,凶悪犯,殺人,,0
2006,アジア州の国,フィリピン,,凶悪犯,殺人,,2
2006,アジア州の国,ベトナム,,凶悪犯,殺人,,2
2006,アジア州の国,マレーシア,,凶悪犯,殺人,,0
2006,アジア州の国,その他,,凶悪犯,殺人,,0
2006,ヨーロッパ州の国,イギリス,,凶悪犯,殺人,,1
2006,ヨーロッパ州の国,イタリア,,凶悪犯,殺人,,0
2006,ヨーロッパ州の国,ロシア,,凶悪犯,殺人,,3
2006,ヨーロッパ州の国,ドイツ,,凶悪犯,殺人,,0
2006,ヨーロッパ州の国,フランス,,凶悪犯,殺人,,0
2006,ヨーロッパ州の国,その他,,凶悪犯,殺人,,0
2006,南北アメリカ州の国,アメリカ,軍人,凶悪犯,殺人,,1
2006,南北アメリカ州の国,アメリカ,軍属,凶悪犯,殺人,,0
2006,南北アメリカ州の国,アメリカ,軍人・軍属の家族,凶悪犯,殺人,,0
2006,南北アメリカ州の国,アメリカ,その他,凶悪犯,殺人,,1
2006,南北アメリカ州の国,カナダ,,凶悪犯,殺人,,0
2006,南北アメリカ州の国,ブラジル,,凶悪犯,殺人,,10
2006,南北アメリカ州の国,その他,,凶悪犯,殺人,,3
2006,アフリカ州の国,,,凶悪犯,殺人,,0
2006,オセアニア州の国,,,凶悪犯,殺人,,0
2006,無国籍,,,凶悪犯,殺人,,0
2006,国籍不明,,,凶悪犯,殺人,,0
2006,アジア州の国,韓国・朝鮮,,凶悪犯,強盗,,62
2006,アジア州の国,中国,,凶悪犯,強盗,,96
2006,アジア州の国,イラン,,凶悪犯,強盗,,6
2006,アジア州の国,インド,,凶悪犯,強盗,,0
2006,アジア州の国,インドネシア,,凶悪犯,強盗,,0
2006,アジア州の国,スリランカ,,凶悪犯,強盗,,1
2006,アジア州の国,タイ,,凶悪犯,強盗,,1
2006,アジア州の国,パキスタン,,凶悪犯,強盗,,1
2006,アジア州の国,バングラディシュ,,凶悪犯,強盗,,2
2006,アジア州の国,フィリピン,,凶悪犯,強盗,,3
2006,アジア州の国,ベトナム,,凶悪犯,強盗,,17
2006,アジア州の国,マレーシア,,凶悪犯,強盗,,0
2006,アジア州の国,その他,,凶悪犯,強盗,,6
2006,ヨーロッパ州の国,イギリス,,凶悪犯,強盗,,3
2006,ヨーロッパ州の国,イタリア,,凶悪犯,強盗,,0
2006,ヨーロッパ州の国,ロシア,,凶悪犯,強盗,,2
2006,ヨーロッパ州の国,ドイツ,,凶悪犯,強盗,,0
2006,ヨーロッパ州の国,フランス,,凶悪犯,強盗,,1
2006,ヨーロッパ州の国,その他,,凶悪犯,強盗,,1
2006,南北アメリカ州の国,アメリカ,軍人,凶悪犯,強盗,,4
2006,南北アメリカ州の国,アメリカ,軍属,凶悪犯,強盗,,0
2006,南北アメリカ州の国,アメリカ,軍人・軍属の家族,凶悪犯,強盗,,3
2006,南北アメリカ州の国,アメリカ,その他,凶悪犯,強盗,,5
2006,南北アメリカ州の国,カナダ,,凶悪犯,強盗,,1
2006,南北アメリカ州の国,ブラジル,,凶悪犯,強盗,,64
2006,南北アメリカ州の国,その他,,凶悪犯,強盗,,16
2006,アフリカ州の国,,,凶悪犯,強盗,,0
2006,オセアニア州の国,,,凶悪犯,強盗,,2
2006,無国籍,,,凶悪犯,強盗,,0
2006,国籍不明,,,凶悪犯,強盗,,0
2006,アジア州の国,韓国・朝鮮,,凶悪犯,放火,,10
2006,アジア州の国,中国,,凶悪犯,放火,,8
2006,アジア州の国,イラン,,凶悪犯,放火,,1
2006,アジア州の国,インド,,凶悪犯,放火,,0
2006,アジア州の国,インドネシア,,凶悪犯,放火,,0
2006,アジア州の国,スリランカ,,凶悪犯,放火,,0
2006,アジア州の国,タイ,,凶悪犯,放火,,1
2006,アジア州の国,パキスタン,,凶悪犯,放火,,0
2006,アジア州の国,バングラディシュ,,凶悪犯,放火,,0
2006,アジア州の国,フィリピン,,凶悪犯,放火,,3
2006,アジア州の国,ベトナム,,凶悪犯,放火,,0
2006,アジア州の国,マレーシア,,凶悪犯,放火,,0
2006,アジア州の国,その他,,凶悪犯,放火,,0
2006,ヨーロッパ州の国,イギリス,,凶悪犯,放火,,0
2006,ヨーロッパ州の国,イタリア,,凶悪犯,放火,,0
2006,ヨーロッパ州の国,ロシア,,凶悪犯,放火,,0
2006,ヨーロッパ州の国,ドイツ,,凶悪犯,放火,,0
2006,ヨーロッパ州の国,フランス,,凶悪犯,放火,,1
2006,ヨーロッパ州の国,その他,,凶悪犯,放火,,0
2006,南北アメリカ州の国,アメリカ,軍人,凶悪犯,放火,,0
2006,南北アメリカ州の国,アメリカ,軍属,凶悪犯,放火,,0
2006,南北アメリカ州の国,アメリカ,軍人・軍属の家族,凶悪犯,放火,,0
2006,南北アメリカ州の国,アメリカ,その他,凶悪犯,放火,,1
2006,南北アメリカ州の国,カナダ,,凶悪犯,放火,,0
2006,南北アメリカ州の国,ブラジル,,凶悪犯,放火,,0
2006,南北アメリカ州の国,その他,,凶悪犯,放火,,1
2006,アフリカ州の国,,,凶悪犯,放火,,0
2006,オセアニア州の国,,,凶悪犯,放火,,0
2006,無国籍,,,凶悪犯,放火,,0
2006,国籍不明,,,凶悪犯,放火,,0
2006,アジア州の国,韓国・朝鮮,,凶悪犯,強姦,,8
2006,アジア州の国,中国,,凶悪犯,強姦,,7
2006,アジア州の国,イラン,,凶悪犯,強姦,,1
2006,アジア州の国,インド,,凶悪犯,強姦,,2
2006,アジア州の国,インドネシア,,凶悪犯,強姦,,0
2006,アジア州の国,スリランカ,,凶悪犯,強姦,,0
2006,アジア州の国,タイ,,凶悪犯,強姦,,0
2006,アジア州の国,パキスタン,,凶悪犯,強姦,,0
2006,アジア州の国,バングラディシュ,,凶悪犯,強姦,,0
2006,アジア州の国,フィリピン,,凶悪犯,強姦,,2
2006,アジア州の国,ベトナム,,凶悪犯,強姦,,0
2006,アジア州の国,マレーシア,,凶悪犯,強姦,,0
2006,アジア州の国,その他,,凶悪犯,強姦,,1
2006,ヨーロッパ州の国,イギリス,,凶悪犯,強姦,,0
2006,ヨーロッパ州の国,イタリア,,凶悪犯,強姦,,1
2006,ヨーロッパ州の国,ロシア,,凶悪犯,強姦,,1
2006,ヨーロッパ州の国,ドイツ,,凶悪犯,強姦,,0
2006,ヨーロッパ州の国,フランス,,凶悪犯,強姦,,0
2006,ヨーロッパ州の国,その他,,凶悪犯,強姦,,0
2006,南北アメリカ州の国,アメリカ,軍人,凶悪犯,強姦,,1
2006,南北アメリカ州の国,アメリカ,軍属,凶悪犯,強姦,,0
2006,南北アメリカ州の国,アメリカ,軍人・軍属の家族,凶悪犯,強姦,,0
2006,南北アメリカ州の国,アメリカ,その他,凶悪犯,強姦,,1
2006,南北アメリカ州の国,カナダ,,凶悪犯,強姦,,0
2006,南北アメリカ州の国,ブラジル,,凶悪犯,強姦,,3
2006,南北アメリカ州の国,その他,,凶悪犯,強姦,,4
2006,アフリカ州の国,,,凶悪犯,強姦,,4
2006,オセアニア州の国,,,凶悪犯,強姦,,0
2006,無国籍,,,凶悪犯,強姦,,0
2006,国籍不明,,,凶悪犯,強姦,,0
2006,アジア州の国,韓国・朝鮮,,粗暴犯,暴行,,369
2006,アジア州の国,中国,,粗暴犯,暴行,,144
2006,アジア州の国,イラン,,粗暴犯,暴行,,9
2006,アジア州の国,インド,,粗暴犯,暴行,,0
2006,アジア州の国,インドネシア,,粗暴犯,暴行,,0
2006,アジア州の国,スリランカ,,粗暴犯,暴行,,3
